ID,Title,Vote Average,Date,Original Language,Genre IDs,IsMovie
753342,Napoleon,6.4,2023-11-22,en,"[18, 36, 10752]",True
842675,The Wandering Earth II,7.3,2023-01-22,zh,"[878, 28, 18]",True
447365,Guardians of the Galaxy Vol. 3,8,2023-05-03,en,"[878, 12, 28]",True
820525,After Everything,7,2023-09-13,en,"[10749, 18]",True
1123093,Diary of a Wimpy Kid Christmas: Cabin Fever,7,2023-12-08,en,"[16, 35, 10751]",True
436270,Black Adam,7,2022-10-19,en,"[28, 12, 878]",True
447277,The Little Mermaid,6.4,2023-05-18,en,"[12, 10751, 14, 10749]",True
1076364,Carl's Date,7.5,2023-06-15,en,"[16, 12, 10751]",True
724209,Heart of Stone,6.9,2023-08-09,en,"[53, 28]",True
504148,The Serpent,5.1,2021-01-28,en,[28],True
1072790,Anyone But You,7.3,2023-12-21,en,"[35, 10749]",True
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,2023-07-31,en,"[16, 35, 28, 878]",True
1072342,Night Swim,5.3,2024-01-03,en,"[27, 53]",True
640146,Ant-Man and the Wasp: Quantumania,6.4,2023-02-15,en,"[28, 12, 878]",True
645488,Aquaman: Heroines of Atlantis,6.1,2019-03-26,en,[99],True
671,Harry Potter and the Philosopher's Stone,7.9,2001-11-16,en,"[12, 14]",True
1039690,Desperation Road,6.9,2023-10-19,en,"[53, 28, 80, 18]",True
399566,Godzilla vs. Kong,7.6,2021-03-24,en,"[28, 878, 53]",True
677179,Creed III,7.2,2023-03-01,en,"[18, 28]",True
744857,When Evil Lurks,7.3,2023-10-05,es,"[27, 53]",True
823464,Godzilla x Kong: The New Empire,0,2024-03-14,en,"[28, 878, 12]",True
1076487,Warhorse One,7.1,2023-06-30,en,"[28, 18, 10752]",True
496450,"Miraculous: Ladybug & Cat Noir, The Movie",7.8,2023-07-05,fr,"[16, 14, 28, 10749, 10751]",True
1003581,Justice League: Warworld,7.2,2023-07-25,en,"[16, 28, 878, 12]",True
508883,The Boy and the Heron,7.3,2023-07-14,ja,"[16, 12, 14]",True
675531,Dark Harvest,6,2023-10-11,en,"[27, 14, 53]",True
1220655,Reacher - Prime Premiere,6.8,2023-12-13,en,"[28, 80, 18]",True
150689,Cinderella,6.8,2015-03-06,en,"[10749, 14, 10751, 18]",True
934433,Scream VI,7.1,2023-03-08,en,"[27, 80, 53]",True
299536,Avengers: Infinity War,8.3,2018-04-25,en,"[12, 28, 878]",True
