ID	Title	Vote Average	Date	Original Language	Genre IDs	IsMovie
241788	Goodbye Maestro: Father and My Appassionato	7	2024-01-14	ja	[]	False
243327	Honor of Kings: Chapter of Glory	10	2024-01-13	zh	[16, 10759]	False
243310	Top Chef VIP	0	2024-01-14	es	[10764]	False
241698	Pansija pilī	0	2024-01-22	lv	[35]	False
243150	Oscar	0	2024-01-08	fa	[10764, 10767]	False
243237	Chaque seconde compte	0	2024-01-08	fr	[10764]	False
225930	Love Endures	0	2024-01-20	zh	[18]	False
243417	Around the World in 80 Weighs	0	2024-01-15	en	[10764, 99]	False
243447	My Love in the Countryside	0	2024-01-22	th	[]	False
243115	Secrets of Polygamy	0	2024-01-08	en	[99]	False
240774	Ooku	0	2024-01-18	ja	[18]	False
243178	Mesacast BBB	0	2024-01-08	pt	[10767]	False
243221	Michael Mosley: Secrets of Your Big Shop	0	2024-01-08	en	[10764, 99]	False
242019	GARO: Heir To Steel Armor	10	2024-01-11	ja	[10759, 18, 10765]	False
240778	アイのない恋人たち	0	2024-01-21	ja	[]	False
242663	Love Deadline	0	2024-01-23	ja	[10764]	False
19882	Gladiators	8	2024-01-13	en	[10764]	False
243087	La mejor generación	0	2024-01-08	es	[10767]	False
242963	Prosper	2	2024-01-18	en	[18]	False
241568	Big Little Brawlers	0	2024-01-09	en	[10764]	False
241097	After the Flood	6	2024-01-10	en	[18, 9648]	False
220096	Hawa & Adam	0	2024-01-10	nl	[18, 10765]	False
243256	SOS: Extreme Rescues	0	2024-01-08	en	[99]	False
243201	Heslo	0	2024-01-08	sk	[]	False
243211	Hubne celá vesnice	0	2024-01-08	cs	[]	False
243476	State of Hate	0	2024-01-08	nl	[99]	False
241941	Cash Cab Music	0	2024-01-08	en	[]	False
243511	Lustful Phantom	0	2024-01-08	th	[]	False
243300	Jo mai mai	0	2024-01-22	ca	[]	False
243569	19th Floor	9	2024-01-16	zh	[9648, 10765]	False
241168	The Trust: A Game of Greed	7	2024-01-10	en	[10764]	False
29135	The Weekend	0	2024-01-13	en	[]	False
225029	Time the Series	9	2024-01-09	th	[18]	False
242024	Serrines, madera de actor	6.8	2024-01-12	es	[35]	False
220074	Flex X Cop	0	2024-01-26	ko	[80, 18, 9648]	False
242350	Projet Innocence	0	2024-01-09	fr	[18, 80]	False
243495	Different Princess	7	2024-01-12	zh	[18, 35]	False
43043	Journey	7	2024-01-12	ta	[10751, 18]	False
242704	Ylvis mot Ylvis: Kampen om gullplaten	0	2024-01-16	no	[10764]	False
241746	Living no Matsunaga-san	0	2024-01-09	ja	[35]	False
